Period,A Interest Due,A Interest Paid,A Interest Shortfall,A Principal Due,A Principal Paid,A Principal Shortfall,A Balance,A Cash Flow,B Interest Due,B Interest Paid,B Interest Shortfall,B Principal Due,B Principal Paid,B Principal Shortfall,B Balance,B Cash Flow,Cash Reserve
0,0,0,0,0,0,0,22683499.454199996,-22683499.454199996,0,0,0,0,0,0,5670874.863549999,-5670874.863549999,0,
1,245737.91075383328,245737.91075383328,0.0,309835.7972660266,309835.7972660266,0.0,22373663.65693397,555573.7080198599,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,38389.42818685784,
2,242381.35628345134,242381.35628345134,0.0,314102.5648280346,314102.5648280346,0.0,22059561.092105936,556483.9211114859,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,75868.64328208845,
3,238978.57849781433,238978.57849781433,0.0,318428.8563695992,318428.8563695992,0.0,21741132.235736337,557407.4348674135,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,112424.34462139191,
4,235528.93255381033,235528.93255381033,0.0,322815.5127222248,322815.5127222248,0.0,21418316.723014113,558344.4452760351,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,148043.03555207432,
5,232031.76449931957,232031.76449931957,0.0,327263.38673765253,327263.38673765253,0.0,21091053.33627646,559295.1512369721,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,182711.02052181895,
6,228486.411142995,228486.411142995,0.0,331773.3434616533,331773.3434616533,0.0,20759279.992814805,560259.7546046483,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,216414.40212388808,
7,224892.1999221604,224892.1999221604,0.0,336346.2603103602,336346.2603103602,0.0,20422933.732504446,561238.4602325206,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,249139.07809808519,
8,221248.44876879817,221248.44876879817,0.0,340983.02724918624,340983.02724918624,0.0,20081950.70525526,562231.4760179844,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,280870.7382868176,
9,217554.46597359865,217554.46597359865,0.0,345684.54697435285,345684.54697435285,0.0,19736266.158280905,563239.0129479514,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,311594.8615455832,
